"idhous" "sex" "birthyr" "nat_1_02" "plingu02" "p02r01" "p02r04" "cspfaj" "cspmoj" "wp00tbgp" "wp00tbgs" "idpers"
"1167" 66891 "man" 1943 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" "other self-employed" 1053.36865234375 0.934848010540009 "1167"
"514" 28621 "man" 1935 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 855.433898925781 0.759184062480927 "514"
"1013" 57711 "woman" 1946 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" "other self-employed" "intermediate professions" 575.205200195312 0.510485529899597 "1013"
"275" 17501 "man" 1918 "Switzerland" "german" "Roman Catholic" "once a week" "top management" NA 1527.39196777344 1.35553622245789 "275"
"2580" 147701 "man" 1946 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" NA NA 796.182678222656 0.706599533557892 "2580"
"773" 44171 "man" 1927 "Switzerland" "italian" "Roman Catholic" "never" "unqualified non-manual and manual workers" NA 1072.43481445312 0.951768934726715 "773"
"1187" 67701 "man" 1923 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" NA NA 1114.69409179688 0.989273309707642 "1187"
"47" 5511 "man" 1930 "Switzerland" "french" "other Christian denomination" "several times a week" "qualified manual professions" NA 1417.23376464844 1.257772564888 "47"
"2091" 118041 "man" 1928 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" "other self-employed" 1013.32299804688 0.899308145046234 "2091"
"1846" 105301 "woman" 1937 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 1094.23852539062 0.971119344234467 "1846"
"1990" NA "woman" 1957 NA NA NA NA "academic professions and senior management" NA 675.081604003906 0.599124252796173 "1990"
"2088" 117741 "man" 1913 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" NA 996.634338378906 0.884497225284576 "2088"
"867" 48891 "man" 1931 "Switzerland" "french" "Protestant or Reformed Church" "once a week" "academic professions and senior management" NA 757.854919433594 0.672584235668182 "867"
"1616" 92651 "woman" 1946 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" NA 904.059326171875 0.802338361740112 "1616"
"2136" 121681 "man" 1929 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" "qualified manual professions" NA 880.619445800781 0.781535804271698 "2136"
"2031" 114421 "man" 1944 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "qualified manual professions" "qualified non-manual professions" 958.079162597656 0.850280106067657 "2031"
"2459" 141631 "man" 1928 "Switzerland" "german" "Roman Catholic" "once a week" NA "intermediate professions" 1266.3359375 1.12385308742523 "2459"
"222" 14691 "man" 1933 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "intermediate professions" "qualified manual professions" 1885.99682617188 1.67379236221313 "222"
"2193" 123941 "woman" 1952 "Switzerland" "french" "other" "several times a week" NA "unqualified non-manual and manual workers" 763.096496582031 0.677236080169678 "2193"
"1571" 90132 "woman" 1953 "Switzerland" "german" "no denomination or religion" "never" "intermediate professions" NA 700.23193359375 0.621444761753082 "1571"
"2592" 148511 "woman" 1949 "Switzerland" "italian" "Roman Catholic" "only for family ceremonies" "top management" NA 933.724853515625 0.828666031360626 "2592"
"1989" 112131 "woman" 1940 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" NA 1537.44226074219 1.36445569992065 "1989"
"1917" 108631 "woman" 1951 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "intermediate professions" NA 640.279541015625 0.568237960338593 "1917"
"630" 35651 "woman" 1950 "Switzerland" "german" "Roman Catholic" "about once a month" "intermediate professions" NA 863.604248046875 0.766435146331787 "630"
"532" 29671 "woman" 1944 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" NA "other self-employed" 1699.06616210938 1.50789427757263 "532"
"863" 48451 "man" 1947 "Switzerland" "french" "Roman Catholic" "once a week" "intermediate professions" "unqualified non-manual and manual workers" 813.438659667969 0.721913933753967 "863"
"1102" 62471 "woman" 1955 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "academic professions and senior management" NA 671.683227539062 0.596108257770538 "1102"
"1454" 82861 "man" 1952 "Switzerland" "german" "Roman Catholic" "about once a month" "academic professions and senior management" NA 1146.69580078125 1.01767444610596 "1454"
"1174" 67211 "man" 1929 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "academic professions and senior management" NA 850.550354003906 0.754850029945374 "1174"
"227" NA "man" 1954 NA NA NA NA "unqualified non-manual and manual workers" NA 808.20654296875 0.71727055311203 "227"
"221" 14501 "woman" 1956 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "qualified non-manual professions" NA 657.849914550781 0.583831369876862 "221"
"618" 34621 "woman" 1947 "Switzerland" "german" "Roman Catholic" "a few times a year" "qualified non-manual professions" "unqualified non-manual and manual workers" 1254.75598144531 1.11357605457306 "618"
"385" 22831 "woman" 1938 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "other self-employed" "other self-employed" 1168.74877929688 1.03724610805511 "385"
"2589" 148241 "woman" 1921 "Switzerland" "italian" NA NA "unqualified non-manual and manual workers" NA 1689.27575683594 1.49920547008514 "2589"
"2482" 142731 "man" 1949 "Switzerland" "german" "Roman Catholic" "once a week" "intermediate professions" NA 777.822509765625 0.690305173397064 "2482"
"2539" 145711 "woman" 1943 "Switzerland" "german" "Roman Catholic" "once a week" "academic professions and senior management" NA 954.817138671875 0.847385108470917 "2539"
"2452" 141211 "woman" 1938 "Switzerland" "german" "Roman Catholic" "a few times a year" "academic professions and senior management" NA 1050.69689941406 0.932476937770844 "2452"
"1241" 70571 "woman" 1937 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "intermediate professions" NA 1385.63586425781 1.22972989082336 "1241"
"1746" 100261 "woman" 1954 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" "other self-employed" 749.205505371094 0.664908051490784 "1746"
"1836" 104771 "man" 1946 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "intermediate professions" NA 1171.92846679688 1.04006791114807 "1836"
"470" NA "woman" 1951 NA NA NA NA "other self-employed" "other self-employed" 881.370300292969 0.782202243804932 "470"
"1807" 103081 "man" 1949 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 897.1162109375 0.796176433563232 "1807"
"1518" 86401 "woman" 1942 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" "other self-employed" 1044.09875488281 0.926621079444885 "1518"
"1733" 99461 "woman" 1954 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" "intermediate professions" 757.429992675781 0.672207176685333 "1733"
"2376" 136601 "woman" 1952 "Austria" "german" "Roman Catholic" "a few times a year" NA NA 1339.58166503906 1.1888575553894 "2376"
"1535" 87271 "woman" 1941 "Germany" "german" "Roman Catholic" "once a week" "other self-employed" "other self-employed" 2568.92944335938 2.27988433837891 "1535"
"780" 44611 "man" 1935 "Switzerland" "italian" "Roman Catholic" "only for family ceremonies" "intermediate professions" NA 942.783142089844 0.836705148220062 "780"
"11" 3381 "man" 1934 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" NA NA 774.36083984375 0.687233030796051 "11"
"706" 40051 "man" 1946 "Switzerland" NA NA NA NA NA 1976.83972167969 1.7544139623642 "706"
"703" 39881 "woman" 1927 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1268.396484375 1.12568187713623 "703"
"2262" 129021 "woman" 1954 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "intermediate professions" NA 681.268676757812 0.604615211486816 "2262"
"846" 47721 "woman" 1940 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "unqualified non-manual and manual workers" NA 1266.20861816406 1.12374007701874 "846"
"1408" 80531 "woman" 1927 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 1327.36389160156 1.17801451683044 "1408"
"1248" 71071 "man" 1937 "Switzerland" "german" "Roman Catholic" "once a week" "intermediate professions" NA 777.878295898438 0.690354645252228 "1248"
"1619" 92811 "man" 1946 "Switzerland" NA NA NA NA NA 2189.18505859375 1.94286704063416 "1619"
"2566" 146981 "woman" 1957 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "intermediate professions" "unqualified non-manual and manual workers" 1100.29895019531 0.976497948169708 "2566"
"2594" NA "man" 1954 NA NA NA NA NA NA 0 0 "2594"
"941" 53711 "man" 1946 "Switzerland" "french" "Roman Catholic" "every two weeks" NA NA 916.506103515625 0.813384652137756 "941"
"1514" 86211 "woman" 1930 "Switzerland" "german" "other Christian denomination" "once a week" "other self-employed" NA 1485.55688476562 1.31840825080872 "1514"
"1692" 98201 "man" 1935 "Switzerland" NA NA NA NA NA 1584.89538574219 1.40656960010529 "1692"
"2106" 119261 "man" 1951 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" "other self-employed" NA 722.455932617188 0.641168236732483 "2106"
"2536" 145321 "woman" 1943 "Switzerland" "german" "Roman Catholic" "several times a week" NA NA 1277.14685058594 1.13344764709473 "2536"
